EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
152219;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;10;18805,6;4380,6;39214,25;-1336,01;MANUFACTURA
53536;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;19;234933,28;192239,56;367521,13;-1358,28;MANUFACTURA
76172;ANÓNIMA;COSTA;SANTA ELENA;SALINAS;GRANDE;SOCIETARIO;7;6335633,09;1408336,04;13022448,3;-1360,67;MANUFACTURA
163792;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;2;5386,6;-110834,41;0;-1375,6;MANUFACTURA
168457;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;4;116302,42;116302,42;0;-1402,96;MANUFACTURA
719027;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;2389,72;-644,45;369,37;-1444,45;MANUFACTURA
706292;SUCURSAL EXTRANJERA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;2;241564,51;-27135,41;0;-1454,01;MANUFACTURA
717054;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;1186,87;-545,13;0;-1545,13;MANUFACTURA
307431;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;0;-769,88;50;-1569,88;MANUFACTURA
62460;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;MICROEMPRESA;SOCIETARIO;7;498597,99;19364,13;21368,3;-1630,06;MANUFACTURA
711315;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;10565,54;-2203,06;2559,7;-1657;MANUFACTURA
177652;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;5;22531,22;9759,3;0;-1664,14;MANUFACTURA
304200;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;6610,53;-9348,25;0;-1705,37;MANUFACTURA
162406;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;18;552534,72;21664,05;1891199,5;-1709,68;MANUFACTURA
38540;ANÓNIMA;COSTA;EL ORO;MACHALA;MICROEMPRESA;SOCIETARIO;4;12575,62;2890,21;341,66;-1737,64;MANUFACTURA
151822;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;3;47072,99;-11345,82;116279,74;-1747,31;MANUFACTURA
178828;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;SANGOLQUÍ;MICROEMPRESA;SOCIETARIO;8;188,73;188,73;14802,02;-1754,34;MANUFACTURA
